handle,tweet
realDonaldTrump,"In Tampa, Florida- thank you to all of our outstanding volunteers who want to <hashtag>MakeAmericaGreatAgain! <url>"
realDonaldTrump,Poll:  <mention> realDonaldTrump vs.  <mention> HillaryClinton among white Evangelicals. <url>
HillaryClinton,"Obama on whether Trump could be trusted with US nuclear weapons: ""Make your own judgment"" <url>"
HillaryClinton,"""Hillary Clinton has never quit on anything in her life."" — <mention> FLOTUS <hashtag>DemsInPhilly <url>"
realDonaldTrump,"I LOVE NEW YORK! <hashtag>NewYorkValues
<url>"
HillaryClinton,"""In times like these, we need a president who can help pull us together, not split us apart. I will work every single day to do just that."""
realDonaldTrump,Doesn't fit the MSM narrative - so they wont share what  <mention> realDonaldTrump did for Jesse Jackson in 1999 - so I will! <url>
HillaryClinton,BREAKING: Clinton is projected winner in U.S. Virgin Islands Dem caucus <url>
HillaryClinton,"This fall, USPS will honor joyous Hindu Festival of <hashtag>Diwali with a Forever® stamp! <url>"
realDonaldTrump,HILLARY'S BAD TAX HABIT! <url>
realDonaldTrump,"Thank you, North Carolina! <hashtag>Trump2016 <hashtag>SuperTuesday 
<hashtag>MakeAmericaGreatAgain <url>"
realDonaldTrump,Thank you to our law enforcement officers! <hashtag>LESM <hashtag>Trump2016 <url>
HillaryClinton,Want one? Chip in now: <url>
HillaryClinton,Watch live as Hillary takes the stage in Brooklyn → <url>
realDonaldTrump,"Politicians are trying to chip away at the 2nd Amendment. I won’t let them take away our guns! <hashtag>Trump2016
Watch: <url>"
realDonaldTrump,". <mention> AnnCoulter's new book, 'In Trump We Trust, comes out tomorrow. People are saying it's terrific - knowing Ann I am sure it is!"
HillaryClinton,"""Everybody knows she’s smart.
Everybody knows she’s tough.

But I know what she’s passionate about—I know Hillary."" — <mention> JoeBiden"
HillaryClinton,"So what has the  <mention> ClintonFdn been up to? Helping millions of people get more affordable medicine to treat HIV/AIDS.
<url>"
realDonaldTrump,"Great honor to have  <mention> GOP General Counsel, <hashtag>JohnRyder as a Trump delegate in TN. RNC meeting well worth it! Unifying the party!"
HillaryClinton,¿Cómo funciona el sistema de delegados? Nuestro experto en delegados nos explica en esta entrevista. <url>
realDonaldTrump,Great rally in Iowa! Such wonderful people. Traveling now with  <mention> SarahPalinUSA to Tulsa- massive crowd expected! <url>
HillaryClinton,"He's been called ""the most lawless lawman in America."" He's endorsed  <mention> RealDonaldTrump. <url>"
realDonaldTrump,"NEBRASKA <hashtag>VoteTrump TODAY!
<hashtag>MakeAmericaGreatAgain <hashtag>Trump2016
<url>"
HillaryClinton,"""Let's make it easier to vote, not harder. Let’s fight back against attacks on voting rights across the country.” —Hillary"
HillaryClinton,Mass incarceration's impact on women and their families doesn't get the attention it deserves. -Hillary <hashtag>ImWithHer <url>
HillaryClinton,America has a lot to lose by electing Trump. But there’s one group in particular who has everything to gain. <url>
realDonaldTrump,""" <mention> sandrajeanne48: No way I believe Trump at 70% disapproval with women. Went to 3 rallies. At least 1/2 women. MSM LIES  <mention> TheFive"""
HillaryClinton,Watch live: Hillary addresses the 61st annual  <mention> NAACP dinner in Detroit → <url>
realDonaldTrump,""" <mention> meequalsfree: Looking forward to seeing you again! Everett to be a packed house!  <mention> realDonaldTrump   <mention> mike_pence"""
realDonaldTrump,"In just out book, Secret Service Agent Gary Byrne doesn't believe that Crooked Hillary has the temperament or integrity to be the president!"
realDonaldTrump,"Join me in Colorado, today! Look forward to seeing you!

Denver- 2pm
<url>

Colorado Springs- 6pm
<url>"
realDonaldTrump,The National Border Patrol Council (NBPC) said that our open border is the biggest physical &amp; economic threat facing the American people!
realDonaldTrump,. <mention> FoxNews should be ashamed for allowing experts to explain how to make a nuclear attack!
HillaryClinton,"""Regardless of what was happening in her life, she was always, always there for me.” — <mention> ChelseaClinton <url>"
realDonaldTrump,"I only wish my wonderful father, Fred, gave me $200 million to start my business like lightweight Rubio says. He didn't - total fabrication!"
HillaryClinton,"It’s not just that Trump doesn’t know what he’s talking about when it comes to national security. His words are dangerous, and they hurt us."
HillaryClinton,"""President Trump"" is a dangerous proposition.

Mitt Romney, Ted Cruz, and Marco Rubio agree.
<url>"
realDonaldTrump,"Remember, Cruz and Bush gave us Roberts who upheld <hashtag>ObamaCare twice! I am the only one who will <hashtag>MAKEAMERICAGREATAGAIN!"
HillaryClinton,"""Vi cómo ella trataba a todos con respeto. Así es como se juzga a alguien""—presidente Obama sobre Hillary.
<url>"
